canton,date,week,year,doses_delivered,first_doses,second_doses,total_vaccinations,source
TI,2021-02-24,,,,23489,12019,35508,https://www4.ti.ch/dss/dsp/covid19/home/
TI,2021-02-28,,,,23439,13892,37331,https://www4.ti.ch/dss/dsp/covid19/home/
TI,2021-03-03,,,,23959,15998,39957,https://www4.ti.ch/dss/dsp/covid19/home/
TI,2021-03-07,,,,25112,19162,44274,https://www4.ti.ch/dss/dsp/covid19/home/
TI,2021-03-10,,,,26502,21757,48259,https://www4.ti.ch/dss/dsp/covid19/home/
TI,2021-03-14,,,,28842,22028,50870,https://www4.ti.ch/dss/dsp/covid19/home/
TI,2021-03-17,,,,30855,22336,53191,https://www4.ti.ch/dss/dsp/covid19/home/
TI,2021-03-21,,,,32787,22574,55361,https://www4.ti.ch/dss/dsp/covid19/home/
TI,2021-03-24,,,,,,57976,https://www4.ti.ch/dss/dsp/covid19/home/
TI,2021-03-28,,,,,,62993,https://www4.ti.ch/dss/dsp/covid19/home/
TI,2021-03-31,,,,,,66689,https://www4.ti.ch/dss/dsp/covid19/home/
TI,2021-04-05,,,,,,71541,https://www4.ti.ch/dss/dsp/covid19/home/
