canton,date,week,year,doses_delivered,first_doses,second_doses,total_vaccinations,source
UR,2021-01-22,,,,,,1134,https://www.ur.ch/_rte/information/74728
UR,2021-01-29,,,,1556,318,1874,https://www.ur.ch/_rte/information/75037
UR,2021-02-05,,,,2076,600,2676,https://www.ur.ch/_rte/information/75424
UR,2021-02-12,,,,2330,1030,3360,https://www.ur.ch/_rte/information/75743
UR,2021-03-05,,,,3030,2000,5030,https://www.ur.ch/_rte/information/76372
UR,2021-03-12,,,,,,5962,https://www.ur.ch/_rte/information/76555
UR,2021-03-18,,,,3923,2526,6449,https://www.ur.ch/_rte/information/76867
UR,2021-03-26,,,,4462,2867,7329,https://www.ur.ch/_rte/information/77195
UR,2021-04-01,,,,4978,3130,8108,https://www.ur.ch/_rte/information/77422
UR,2021-04-09,,,,5294,3647,8941,https://www.ur.ch/_rte/information/77563
UR,2021-04-16,,,,5995,4062,10057,https://www.ur.ch/_rte/information/77768
UR,2021-04-23,,,,6924,4543,11467,https://www.ur.ch/_rte/information/78050
UR,2021-04-30,,,,,,12607,https://www.ur.ch/_rte/information/78269
UR,2021-05-07,,,,,,15004,https://www.ur.ch/_rte/information/78529
UR,2021-05-14,,,,,,16822,https://www.ur.ch/_rte/information/78751
UR,2021-05-21,,,,,,19155,https://www.ur.ch/_rte/information/79003
UR,2021-05-28,,,,13168,7684,20852,https://www.ur.ch/_rte/information/79286
